fecha,total_articulos,ingresos_totales
2019-05-02,68839,1979.0707
2019-05-03,55773,1565.8851
2019-05-04,52336,1457.22
2019-05-05,41956,1214.8037
2019-05-06,39273,1149.6396
2019-05-07,43795,1278.8274
2019-05-08,44209,1301.6146
2019-05-09,38693,1108.9204
2019-05-10,41585,1201.4843
2019-05-11,42390,1166.6958
2019-05-12,33240,973.6751
2019-05-13,35508,1030.454
2019-05-14,41100,1181.2661
2019-05-15,40695,1139.0608
2019-05-16,97320,2593.4873
2019-05-17,41312,1144.0054
2019-05-18,47698,1309.2937
2019-05-19,37283,1058.5984
2019-05-20,43006,1224.3794
2019-05-21,43676,1269.9756
2019-05-22,51126,1404.8386
2019-05-23,52773,1422.8441
2019-05-24,58066,1538.0156
2019-05-25,56786,1499.2711
2019-05-26,51913,1427.1039
2019-05-27,51676,1456.1808
2019-05-28,49568,1376.2787
2019-05-29,68148,1754.033
2019-05-30,47604,1287.1521
2019-05-31,70097,1761.797
2019-06-01,62619,1611.5732
2019-06-02,58089,1546.3615
2019-06-03,52676,1459.8275
2019-06-04,51977,1431.9574
2019-06-05,53398,1463.0074
2019-06-06,51953,1414.3634
2019-06-07,48905,1310.471
2019-06-08,46384,1224.6763
2019-06-09,29798,858.81903
2019-06-10,39561,1066.3268
2019-06-11,43337,1189.7766
2019-06-12,36588,991.3781
2019-06-13,78012,2340.5178
2019-06-14,48555,1316.7543
2019-06-15,46705,1236.1959
2019-06-16,34579,959.0459
2019-06-17,50067,1355.3136
2019-06-18,60593,1613.8389
2019-06-19,104052,2476.7144
2019-06-20,92778,2199.041
2019-06-21,84136,2001.1001
2019-06-22,87802,2099.926
2019-06-23,80648,1971.1278
2019-06-24,95110,2332.4854
2019-06-25,91365,2251.6675
2019-06-26,96337,2296.1858
2019-06-27,82326,1936.8427
2019-06-28,74998,1758.1444
2019-06-29,63192,1487.9686
2019-06-30,59662,1447.0092
2019-07-01,72375,1784.8298
2019-07-02,70056,1712.9863
2019-07-03,71255,1712.1317
2019-07-04,58684,1381.0366
2019-07-05,56127,1331.679
2019-07-06,56162,1322.9706
2019-07-07,44867,1102.6409
2019-07-08,51888,1259.4
2019-07-09,54224,1271.1682
2019-07-10,63403,1440.0581
2019-07-11,58167,1281.3134
2019-07-12,49104,1095.1995
2019-07-13,52472,1166.8787
2019-07-14,45379,1056.5221
2019-07-15,53061,1235.0443
2019-07-16,51589,1185.5509
2019-07-17,60641,1331.4281
2019-07-18,57822,1279.2386
2019-07-19,52222,1158.6218
2019-07-20,47872,1064.8988
2019-07-21,47870,1078.5365
2019-07-22,59218,1317.7296
2019-07-23,63567,1423.7246
2019-07-24,124683,2217.253
2019-07-25,64314,1338.2122
2019-07-26,57071,1180.2527
2019-07-27,55024,1147.0198
2019-07-28,47989,1031.6515
2019-07-29,54247,1170.4532
2019-07-30,50802,1123.5194
2019-07-31,55339,1185.1797
2019-08-01,52371,1119.96
2019-08-02,41438,890.16833
2019-08-03,40553,884.7249
2019-08-04,34634,784.9744
2019-08-05,44248,1018.85175
2019-08-06,48092,1081.1597
2019-08-07,46769,1087.5402
2019-08-08,45867,1059.3899
2019-08-09,39561,929.47046
2019-08-10,41323,972.6074
2019-08-11,32932,819.7878
2019-08-12,39689,1010.74115
2019-08-13,45355,1105.3955
2019-08-14,53274,1185.2062
2019-08-15,51943,1156.095
2019-08-16,45866,1033.9233
2019-08-17,43572,1001.823
2019-08-18,45329,1094.5413
2019-08-19,39571,988.4832
2019-08-20,41351,1085.4185
2019-08-21,42056,1117.1953
2019-08-22,40190,1058.376
2019-08-23,35626,915.37244
2019-08-24,32581,841.1394
2019-08-25,28313,762.7795
2019-08-26,31842,892.4743
2019-08-27,31754,871.78827
2019-08-28,34884,954.7421
2019-08-29,38002,1048.6061
2019-08-30,34681,959.117
2019-08-31,29863,813.9945
2019-09-01,33228,982.5523
2019-09-02,33078,1032.6766
2019-09-03,33981,1060.3185
2019-09-04,34530,1086.7354
2019-09-05,43200,1549.0568
2019-09-06,38762,1240.1381
2019-09-07,39480,1226.4417
2019-09-08,37052,1182.8485
2019-09-09,33377,1101.3542
2019-09-10,37719,1241.7374
2019-09-11,36096,1204.9481
2019-09-12,35417,1148.4454
2019-09-13,36761,1211.0869
2019-09-14,35936,1134.62
2019-09-15,31112,1026.8693
2019-09-16,33716,1164.2393
2019-09-17,37008,1283.9132
2019-09-18,39063,1333.7314
2019-09-19,36491,1230.0396
2019-09-20,31508,1023.63885
2019-09-21,20542,655.65027
2019-09-22,33950,1168.9623
2019-09-23,34076,1197.5768
2019-09-24,36702,1262.1902
2019-09-25,41256,1415.2472
2019-09-26,37128,1325.1101
2019-09-27,35597,1187.16
2019-09-28,198622,6161.603
2019-09-29,40043,1359.9902
2019-09-30,31747,1105.1683
2019-10-01,40412,1437.1609
2019-10-02,63452,1928.3218
2019-10-03,50775,1567.322
2019-10-04,43558,1380.9482
2019-10-05,43387,1327.0618
2019-10-06,42390,1332.6384
2019-10-07,39091,1261.8524
2019-10-08,37840,1247.9564
2019-10-09,44476,1414.9639
2019-10-10,38121,1198.6798
2019-10-11,32866,1031.0619
2019-10-12,36954,1154.5269
2019-10-13,33358,1027.6807
2019-10-14,31945,999.32477
2019-10-15,34410,1102.77
2019-10-16,37522,1182.14
2019-10-17,31801,998.34534
2019-10-18,29189,919.0261
2019-10-19,32588,1032.0394
2019-10-20,27989,929.3258
2019-10-21,31697,1051.1995
2019-10-22,35293,1148.1024
2019-10-23,37008,1216.9203
2019-10-24,37675,1221.282
2019-10-25,37261,1204.8221
2019-10-26,34845,1119.1238
2019-10-27,33399,1122.2227
2019-10-28,29691,1040.8022
2019-10-29,30235,1052.1758
2019-10-30,34411,1191.6195
2019-10-31,33133,1146.2919
2019-11-01,32518,1118.7632
2019-11-02,35299,1208.7732
2019-11-03,84406,2738.4624
2019-11-04,28038,974.1736
2019-11-05,28336,987.2825
2019-11-06,29694,1009.42596
2019-11-07,28221,965.6569
2019-11-08,30760,1036.3715
2019-11-09,31131,1039.171
2019-11-10,25462,888.70465
2019-11-11,41049,1412.939
2019-11-12,25201,897.3929
2019-11-13,27669,957.5164
2019-11-14,28256,985.54956
2019-11-15,28366,968.8953
2019-11-16,31297,1058.6946
2019-11-17,25967,921.0245
2019-11-18,23989,867.46405
2019-11-19,25831,913.2263
2019-11-20,29013,1009.16833
2019-11-21,28532,985.61255
2019-11-22,30161,1007.4625
2019-11-23,31419,1019.11017
2019-11-24,25957,868.9467
2019-11-25,38160,1199.47
2019-11-26,37160,1174.0162
2019-11-27,33628,1245.9617
2019-11-28,106257,3103.0278
2019-11-29,160875,4444.3423
2019-11-30,65381,1847.8138
2019-12-01,68468,1806.6986
2019-12-02,60843,1626.04
2019-12-03,22951,768.7769
2019-12-04,25105,855.77423
2019-12-05,22457,758.99536
2019-12-06,24432,789.9276
2019-12-07,28188,897.8043
2019-12-08,23345,793.0539
2019-12-09,24980,849.91003
2019-12-10,28309,940.9229
2019-12-11,31451,1025.8241
2019-12-12,31493,1006.96185
2019-12-13,28924,925.9741
2019-12-14,32329,987.6616
2019-12-15,28747,915.20026
2019-12-16,30041,922.2253
2019-12-17,33931,968.3
2019-12-18,66070,1684.546
2019-12-19,53330,1326.8799
2019-12-20,52454,1242.2328
2019-12-21,56187,1362.9191
2019-12-22,46731,1158.3125
2019-12-23,51240,1208.1923
2019-12-24,37927,907.80975
2019-12-25,13637,408.18927
2019-12-26,20328,553.35443
2019-12-27,40678,1059.4059
2019-12-28,39513,1039.7408
2019-12-29,34918,943.2419
2019-12-30,34915,908.94073
2019-12-31,24393,623.7759
2020-01-01,12760,384.89114
2020-01-02,44864,1161.7539
2020-01-03,46190,1151.6487
2020-01-04,44507,1123.3147
2020-01-05,34813,909.63525
2020-01-06,29430,793.7943
2020-01-07,29251,794.4937
2020-01-08,38700,991.6768
2020-01-09,36746,940.1402
2020-01-10,34590,892.5212
2020-01-11,36101,927.8258
2020-01-12,34899,941.8959
2020-01-13,31333,837.9422
2020-01-14,32103,859.79364
2020-01-15,32972,876.049
2020-01-16,33827,894.105
2020-01-17,31236,818.43414
2020-01-18,34025,883.19916
2020-01-19,29787,801.7902
2020-01-20,29107,779.9887
2020-01-21,25632,693.6894
2020-01-22,34075,927.86414
2020-01-23,36257,981.1126
2020-01-24,38920,1047.5912
2020-01-25,43377,1155.717
2020-01-26,43586,1261.968
2020-01-27,35427,1003.52466
2020-01-28,33689,941.55725
2020-01-29,36833,1035.1024
2020-01-30,36058,1000.2999
2020-01-31,35259,980.26306
2020-02-01,38017,1046.3306
2020-02-02,31387,911.4704
2020-02-03,31845,913.9196
2020-02-04,30914,888.8185
2020-02-05,36030,1031.7168
2020-02-06,41058,1139.3065
2020-02-07,38144,1041.4222
2020-02-08,39288,1075.7725
2020-02-09,33788,984.32825
2020-02-10,30260,860.68274
2020-02-11,31588,907.17285
2020-02-12,29543,844.8249
2020-02-13,35157,1030.2787
2020-02-14,32158,900.8352
2020-02-15,37570,1041.9955
2020-02-16,32814,960.8381
2020-02-17,32415,927.0687
2020-02-18,33069,940.2138
2020-02-19,26943,748.2799
2020-02-20,39201,1219.9056
2020-02-21,34720,968.8738
2020-02-22,34562,981.6192
2020-02-23,29957,888.3198
2020-02-24,30865,923.77905
2020-02-25,35114,1026.1117
2020-02-26,38859,1157.7318
2020-02-27,41095,1235.8995
2020-02-28,35822,1038.6404
2020-02-29,39676,1156.72
2020-03-01,37082,1129.321
2020-03-02,30941,934.81714
2020-03-03,36802,1095.026
2020-03-04,56629,1562.9252
2020-03-05,46043,1262.9607
2020-03-06,40139,1108.4575
2020-03-07,44794,1248.6271
2020-03-08,39775,1129.8142
2020-03-09,37516,1061.8138
2020-03-10,34895,1004.7736
2020-03-11,41503,1186.6467
2020-03-12,32748,941.3156
2020-03-13,29159,836.1156
2020-03-14,33680,963.3604
2020-03-15,25601,716.5801
2020-03-16,19385,565.9536
2020-03-17,23792,706.37067
2020-03-18,27091,803.3478
2020-03-19,24810,741.61066
2020-03-20,25830,765.02783
2020-03-21,27792,798.4575
2020-03-22,34956,990.28394
2020-03-23,25907,744.82886
2020-03-24,32432,923.3998
2020-03-25,34904,1004.04254
2020-03-26,35264,1087.221
2020-03-27,31779,953.656
2020-03-28,31114,917.70026
2020-03-29,34443,1008.5635
2020-03-30,36648,1067.1377
2020-03-31,34298,1014.04816
2020-04-01,39518,1142.6307
2020-04-02,39040,1155.1111
2020-04-03,55966,1576.8348
2020-04-04,80500,2104.1133
2020-04-05,36027,1042.2498
2020-04-06,41962,1226.3557
2020-04-07,44270,1278.2241
2020-04-08,52965,1519.2174
2020-04-09,50991,1465.6001
2020-04-10,41889,1222.2316
2020-04-11,162799,3961.9878
2020-04-12,31418,915.68195
2020-04-13,32744,978.4313
2020-04-14,29072,869.6631
2020-04-15,33366,1002.8206
2020-04-16,34359,1030.1812
2020-04-17,32475,971.1502
2020-04-18,32065,967.82336
2020-04-19,29562,879.9909
2020-04-20,36744,1068.935
2020-04-21,30862,916.9765
2020-04-22,37893,1129.3184
2020-04-23,44438,1316.8854
2020-04-24,41437,1218.3787
2020-04-25,51396,1361.9393
2020-04-26,59238,1522.5411
2020-04-27,27850,789.3088
2020-04-28,35644,1026.5647
2020-04-29,36390,1052.8363
2020-04-30,38002,1094.5026
2020-05-01,32182,940.82416
2020-05-02,27822,815.8017
2020-05-03,25087,735.38574
2020-05-04,28126,818.7112
2020-05-05,25874,752.2998
2020-05-06,34129,955.36707
2020-05-07,37864,1061.7915
2020-05-08,43071,1170.8911
2020-05-09,43018,1162.6161
2020-05-10,26039,770.18036
2020-05-11,37795,1058.5345
2020-05-12,37670,1048.2913
2020-05-13,41121,1140.7256
2020-05-14,45407,1259.96
2020-05-15,42451,1152.4352
2020-05-16,41721,1116.5139
2020-05-17,34390,950.62134
2020-05-18,44982,1226.4625
2020-05-19,49952,1331.3666
2020-05-20,58890,1543.6521
2020-05-21,48272,1290.6506
2020-05-22,67789,1737.1373
2020-05-23,62966,1629.9806
2020-05-24,41785,1184.2837
2020-05-25,51475,1381.3
2020-05-26,56595,1523.148
2020-05-27,62439,1665.7546
2020-05-28,60745,1644.9592
2020-05-29,59463,1563.8378
2020-05-30,60861,1564.1619
2020-05-31,31834,948.04913
2020-06-01,43084,1232.2898
2020-06-02,44666,1198.8877
2020-06-03,53187,1420.1547
2020-06-04,50470,1386.1382
2020-06-05,44470,1179.408
2020-06-06,48649,1239.7504
2020-06-07,36733,1049.22
2020-06-08,38117,1079.4796
2020-06-09,39370,1058.2374
2020-06-10,42585,1133.3059
2020-06-11,44044,1150.1527
2020-06-12,43804,1110.5238
2020-06-13,46088,1159.8153
2020-06-14,32087,880.32056
2020-06-15,40427,1048.5015
2020-06-16,49855,1292.0448
2020-06-17,110981,2540.1135
2020-06-18,84563,1916.1871
2020-06-19,77241,1755.3048
2020-06-20,67788,1533.4147
2020-06-21,56469,1369.5237
2020-06-22,75334,1776.1569
2020-06-23,77067,1803.5381
2020-06-24,98790,2195.5818
2020-06-25,88684,1976.2762
2020-06-26,77452,1726.0801
2020-06-27,74671,1676.1384
2020-06-28,63485,1458.163
2020-06-29,53193,1259.7523
2020-06-30,61153,1450.8982
2020-07-01,59443,1395.5045
2020-07-02,55884,1295.3464
2020-07-03,51212,1175.5879
2020-07-04,46408,1095.8934
2020-07-05,38401,936.9381
2020-07-06,40933,999.54956
2020-07-07,45138,1079.2765
2020-07-08,49839,1191.3087
2020-07-09,43016,1016.78204
2020-07-10,43922,1026.2699
2020-07-11,40292,948.1258
2020-07-12,29794,729.0827
2020-07-13,41095,987.1954
2020-07-14,38714,927.3982
2020-07-15,51387,1212.0864
2020-07-16,45465,1079.9238
2020-07-17,42666,991.5459
2020-07-18,37666,883.26404
2020-07-19,28801,702.20807
2020-07-20,40657,977.8743
2020-07-21,42886,1035.6935
2020-07-22,46368,1138.9971
2020-07-23,44976,1097.866
2020-07-24,46496,1132.1814
2020-07-25,41058,1001.3312
2020-07-26,33688,839.01544
2020-07-27,40196,1008.49347
2020-07-28,46687,1156.3633
2020-07-29,47998,1188.446
2020-07-30,51712,1203.5095
2020-07-31,38704,909.94855
2020-08-01,41958,972.5821
2020-08-02,38806,908.59204
2020-08-03,45416,1084.6743
2020-08-04,54875,1320.906
2020-08-05,53207,1292.0099
2020-08-06,52430,1249.6357
2020-08-07,43193,1021.43835
2020-08-08,33685,805.3482
2020-08-09,27024,670.45557
2020-08-10,36909,904.00024
2020-08-11,42713,1048.3872
2020-08-12,71072,1734.5778
2020-08-13,39349,976.4912
2020-08-14,35305,881.17993
2020-08-15,29427,746.7269
2020-08-16,22613,630.6715
2020-08-17,32532,881.4353
2020-08-18,34913,946.40564
2020-08-19,37284,1008.16534
2020-08-20,37926,1040.0443
2020-08-21,33913,924.42786
2020-08-22,34978,982.21436
2020-08-23,33031,979.59894
2020-08-24,37672,1131.8903
2020-08-25,41840,1292.9949
2020-08-26,46027,1465.7214
2020-08-27,44403,1367.6294
2020-08-28,39546,1207.5714
2020-08-29,41175,1271.8733
2020-08-30,35862,1145.3195
2020-08-31,38108,1237.53
2020-09-01,38060,1228.6412
2020-09-02,32722,1042.2024
2020-09-03,40441,1324.5482
2020-09-04,39203,1230.0161
2020-09-05,43002,1352.4639
2020-09-06,34961,1139.1365
2020-09-07,37913,1278.7032
2020-09-08,36415,1243.4896
2020-09-09,41626,1425.3108
2020-09-10,40261,1344.2379
2020-09-11,37561,1282.8984
2020-09-12,40271,1311.2039
2020-09-13,39528,1394.6976
2020-09-14,29941,1042.0791
2020-09-15,26053,874.8922
2020-09-16,27028,890.2108
2020-09-17,40718,1418.2773
2020-09-18,39284,1363.8582
2020-09-19,36796,1227.4713
2020-09-20,31489,1116.071
2020-09-21,32130,1139.598
2020-09-22,32866,1133.4185
